prompt_name,role,explanation,shots,n,n_ok,ok_rate,n_correct,accuracy,avg_latency_seconds,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,repaired_rate
base_zero_noex,False,False,0,84,83,0.9880952380952381,73,0.8690476190476191,5.546345238095238,287.8192771084337,255.18072289156626,543.0,0.0
base_one_noex,False,False,1,84,84,1.0,72,0.8571428571428571,4.945880952380953,465.04761904761904,296.9761904761905,762.0238095238095,0.0
base_few_noex,False,False,3,84,84,1.0,72,0.8571428571428571,4.937309523809524,789.6666666666666,273.9761904761905,1063.642857142857,0.0
base_zero_expl,False,True,0,84,84,1.0,78,0.9285714285714286,4.678535714285714,316.0833333333333,234.21428571428572,550.297619047619,0.0
base_one_expl,False,True,1,84,82,0.9761904761904762,73,0.8690476190476191,5.215630952380953,486.3170731707317,218.0731707317073,704.390243902439,0.0
base_few_expl,False,True,3,84,84,1.0,71,0.8452380952380952,6.922714285714286,815.6428571428571,318.7142857142857,1134.357142857143,0.0
role_zero_noex,True,False,0,84,84,1.0,78,0.9285714285714286,5.042595238095238,303.26190476190476,275.01190476190476,578.2738095238095,0.0
role_one_noex,True,False,1,84,83,0.9880952380952381,74,0.8809523809523809,5.237690476190476,484.8095238095238,273.32142857142856,758.1309523809524,0.0
role_few_noex,True,False,3,84,84,1.0,73,0.8690476190476191,5.0335,811.9166666666666,222.23809523809524,1034.154761904762,0.0
role_zero_expl,True,True,0,84,84,1.0,74,0.8809523809523809,4.786011904761905,329.3690476190476,222.3452380952381,551.7142857142857,0.0
role_one_expl,True,True,1,84,78,0.9285714285714286,66,0.7857142857142857,5.661404761904762,472.4457831325301,212.12048192771084,684.566265060241,0.0
role_few_expl,True,True,3,84,83,0.9880952380952381,73,0.8690476190476191,7.372404761904763,832.6904761904761,328.8809523809524,1161.5714285714287,0.0
